1 2 3
1 2 3
1 2 3
1 2 3
7.415 11.167 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.412 11.168 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.409 11.168 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.405 11.169 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.402 11.170 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.398 11.170 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.395 11.171 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.392 11.172 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.388 11.172 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.385 11.173 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.382 11.174 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.379 11.175 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.376 11.175 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.372 11.176 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.369 11.177 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.366 11.178 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.362 11.178 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.359 11.179 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.355 11.180 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.352 11.181 0.037
1 2 3

1 2 3
1 2 3
1 2 3
7.348 11.181 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.345 11.182 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.341 11.183 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.337 11.184 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.334 11.184 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.330 11.185 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.326 11.186 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.323 11.186 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.319 11.187 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.315 11.188 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.311 11.188 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.308 11.189 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.304 11.189 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.301 11.190 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.298 11.190 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.294 11.191 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.291 11.191 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.288 11.191 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.286 11.192 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.283 11.192 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.281 11.192 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.278 11.193 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.275 11.193 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.272 11.194 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.269 11.194 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.266 11.195 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.264 11.195 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.261 11.195 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.258 11.196 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.255 11.196 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.253 11.196 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.251 11.196 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.248 11.195 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.246 11.195 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.243 11.195 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.241 11.194 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.238 11.194 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.235 11.194 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.233 11.193 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.230 11.193 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.227 11.193 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.224 11.192 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.221 11.192 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.219 11.192 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.216 11.192 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.212 11.192 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.209 11.191 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.206 11.191 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.203 11.191 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.200 11.191 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.197 11.191 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.193 11.191 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.190 11.190 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.186 11.190 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.183 11.190 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.180 11.190 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.176 11.190 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.173 11.190 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.170 11.190 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.167 11.190 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.164 11.190 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.161 11.190 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.158 11.190 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.154 11.189 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.151 11.189 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.147 11.189 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.144 11.189 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.140 11.189 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.137 11.189 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.133 11.189 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.130 11.189 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.127 11.188 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.123 11.188 0.043
1 2 3

1 2 3
1 2 3
1 2 3
7.120 11.188 0.043
1 2 3

1 2 3
1 2 3
1 2 3
7.117 11.188 0.043
1 2 3

1 2 3
1 2 3
1 2 3
7.114 11.188 0.043
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.016
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.039 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.039 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.039 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.039 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.039 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.039 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.010 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.015
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.014
1 2 3

1 2 3
1 2 3
1 2 3
-0.009 -0.040 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.008 -0.040 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.008 -0.040 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.008 -0.040 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.008 -0.040 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.008 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.008 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.008 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.013
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.039 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.039 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.039 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.039 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.038 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.012
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.011
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.037 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.010
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.009
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.038 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.037 -0.008
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.007 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.006 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.037 -0.007
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.037 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.005 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.006
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.036 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.004 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.035 -0.005
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.035 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.035 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.035 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.003 -0.034 -0.004
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.034 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.034 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.034 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.034 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.034 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.033 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.033 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.002 -0.033 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.001 -0.033 -0.003
1 2 3

1 2 3
1 2 3
1 2 3
-0.001 -0.033 -0.003
1 2 3

1 2 3
